Full Street Name
N HOMAN BLVD
W HOMER ST
S HOMEWOOD AVE
N HONORE ST
S HONORE ST
W HOOD AVE
N HOOKER ST
W HOPKINS PL
W HORTENSE AVE
S HOUSTON AVE
W HOWARD ST
N HOWE ST
W HOWLAND AVE
S HOXIE AVE
N HOYNE AVE
S HOYNE AVE
S HOYT AVE
E HUBBARD ST
W HUBBARD ST
E HUBBARD LOWER ST
N HUDSON AVE
N HUMBOLDT BLVD E
N HUMBOLDT BLVD W
N HUMBOLDT BLVD
N HUMBOLDT DR
W HUNT AVE
W HUNTINGTON ST
W HURLBUT ST
E HURON ST
W HURON ST
W HUTCHINSON ST
W HYACINTH ST
E HYDE PARK BLVD
S HYDE PARK BLVD
S HYDE PARK DR
W I190 EXPY IB
W I190 EXPY OB
S I55 CICERO AV ER
S I55 CICERO AV XR
S I55 DAMEN AV XR
S I55 DAMEN ST ER
W I55 KEDZIE AV ER
W I55 KEDZIE AV XR
W I55 PULASKI RD ER
W I55 PULASKI RD XR
S I57 EXPY IB
S I57 EXPY OB
W I57 EXPY IB
W I57 EXPY OB
S I57 111TH ST ER
S I57 111TH ST XR
S I57 112TH ST ER
S I57 119TH ST ER
E I57 BISHOP FORD EXPY XR
W I57 BISHOP FORD EXPY XR
E I57 EXPY XR
S I57 FORD 119TH ST XR
W I57 HALSTED ST ER
W I57 HALSTED ST XR
S IB DAN RYAN SR
W IB EISENHOWER OB DAN RYAN ER
W IB NORTHWEST TOLL
W IBSEN ST
E ILLINOIS ST
W ILLINOIS ST
E ILLINOIS LOWER ST
W IMLAY ST
S INDEPENDENCE BLVD
S INDEPENDENCE SQ
N INDIAN RD
S INDIANA AVE
S INDIANA PKWY
S INDIANAPOLIS AVE
S INGLESIDE AVE
W INSTITUTE PL
N IONIA AVE
W IOWA ST
N IRENE AVE
S IRON ST
S IRVING AVE
W IRVING PARK DR
W IRVING PARK RD
W ISHAM AVE
E JACKSON BLVD
W JACKSON BLVD
E JACKSON DR
W JAMES ST
W JAMES M ROCHFORD ST
N JANSSEN AVE
W JARLATH ST
W JARVIS AVE
S JASPER PL
N JEAN AVE
N JEFFERSON ST
S JEFFERSON ST
S JEFFERY AVE
S JEFFERY BLVD
S JEFFERY DR
S JENSEN BLVD
W JEROME ST
N JERSEY AVE
N JESSIE CT
W JOHNSON RD
N JONES ST
W JONQUIL TER
S JOURDAN CT
W JOYCE LN
W JULIA CT
W JULIAN ST
W JUNEWAY TER
W JUNIOR TER
N JUSTINE ST
S JUSTINE ST
W KAMERLING AVE
S KANST DR
N KARLOV AVE
S KARLOV AVE
N KASSON AVE
N KEARSARGE AVE
N KEATING AVE
S KEATING AVE
N KEDVALE AVE
S KEDVALE AVE
N KEDZIE AVE
S KEDZIE AVE
N KEDZIE BLVD E
N KEDZIE BLVD W
N KEDZIE BLVD
S KEEFE AVE
N KEELER AVE
S KEELER AVE
S KEELEY ST
N KEENE AVE
N KELSO AVE
W KEMPER PL
N KENMORE AVE
N KENNEDY EXPY IB
N KENNEDY EXPY OB
S KENNEDY EXPY IB
S KENNEDY EXPY OB
W KENNEDY EXPY OB
W KENNEDY EXPY IB
N KENNEDY SR
S KENNEDY ADAMS ST ER
S KENNEDY ADAMS ST XR
N KENNEDY ADDISON ST ER
N KENNEDY ADDISON ST XR
N KENNEDY ARMITAGE AV ER
N KENNEDY ARMITAGE AV XR
N KENNEDY AUGUSTA BL XR
W KENNEDY AUGUSTA BL XR
N KENNEDY BELMONT AV XR
N KENNEDY BRYN MAWR AV XR
N KENNEDY CALIFORNIA AV ER
N KENNEDY CALIFORNIA AV XR
N KENNEDY CENTRAL AV ER
N KENNEDY CENTRAL AV XR
N KENNEDY CUMBERLAND AV ER
W KENNEDY CUMBERLAND AV ER
N KENNEDY CUMBERLAND AV XR
W KENNEDY CUMBERLAND AV XR
N KENNEDY DAMEN AV ER
N KENNEDY DAMEN AV XR
N KENNEDY DIVERSEY AV ER
N KENNEDY DIVERSEY AV XR
N KENNEDY DIVISION ST ER
N KENNEDY DIVISION ST XR
N KENNEDY EXPRESS ER
N KENNEDY EXPRESS RL
N KENNEDY FOSTER AV ER
N KENNEDY FOSTER AV XR
N KENNEDY FULLERTON AV ER
N KENNEDY FULLERTON AV XR
W KENNEDY HARLEM AV ER
W KENNEDY HARLEM AV XR
N KENNEDY HARLEM AV IB ER
W KENNEDY HARLEM AV OB ER
W KENNEDY HIGGINS RD XR
N KENNEDY IB ER
S KENNEDY IB EISENHOWER IB ER
W KENNEDY IB EISENHOWER IB ER
N KENNEDY IRVING PARK RD ER
N KENNEDY IRVING PARK RD XR
S KENNEDY JACKSON BL ER
S KENNEDY JACKSON BL XR
N KENNEDY KEDZIE AV ER
N KENNEDY KEELER AV ER
N KENNEDY KEELER AV XR
N KENNEDY KIMBALL AV ER
N KENNEDY KIMBALL AV XR IB
N KENNEDY KIMBALL AV XR OB
N KENNEDY KOSTNER AV XR
N KENNEDY LAKE ST ER
N KENNEDY LAKE ST XR
N KENNEDY LAWRENCE AV ER
N KENNEDY LAWRENCE AV XR
N KENNEDY LOGAN BL XR
N KENNEDY MADISON ST XR
S KENNEDY MADISON ST XR
N KENNEDY MILWAUKEE AV ER
S KENNEDY MONROE ST ER
N KENNEDY MONROE ST XR
S KENNEDY MONROE ST XR
N KENNEDY MONTROSE AV ER
N KENNEDY MONTROSE AV XR
W KENNEDY NAGLE AV ER
W KENNEDY NAGLE AV XR
N KENNEDY NORTH AV ER
N KENNEDY NORTH AV XR
S KENNEDY OB EISENHOWER OB ER
N KENNEDY OB JFK EXPRESS LANES ER
N KENNEDY OGDEN AV ER
N KENNEDY OHIO FEEDER XR OB
N KENNEDY OHIO FEEDER XR IB
W KENNEDY OHIO FEEDER XR IB
W KENNEDY ONTARIO ST ER
N KENNEDY ONTARIO ST NB ER
W KENNEDY ONTARIO ST NB ER
N KENNEDY ONTARIO ST SB ER
W KENNEDY ONTARIO ST SB ER
N KENNEDY PULASKI RD ER
N KENNEDY PULASKI RD XR
N KENNEDY RACINE AV XR
N KENNEDY RANDOLPH ST ER
N KENNEDY RANDOLPH ST XR
N KENNEDY SACRAMENTO AV ER
W KENNEDY SAYRE AV ER
W KENNEDY SAYRE AV XR
N KENNEDY WASHINGTON BL ER
N KENNEDY WASHINGTON BL XR
S KENNEDY WASHINGTON BL XR
N KENNEDY WESTERN AV ER
N KENNEDY WILSON AV ER
N KENNEDY WILSON AV XR
N KENNETH AVE
S KENNETH AVE
N KENNICOTT AVE
N KENNISON AVE
N KENOSHA AVE
E KENSINGTON AVE
N KENTON AVE
S KENTON AVE
N KENTON CT
N KENTUCKY AVE
S KENWOOD AVE
N KEOKUK AVE
N KEOTA AVE
N KERBS AVE
N KERCHEVAL AVE
S KERFOOT AVE
N KEWANEE AVE
N KEYSTONE AVE
N KILBOURN AVE
S KILBOURN AVE
N KILDARE AVE
S KILDARE AVE
S KILDARE BLVD
N KILPATRICK AVE
S KILPATRICK AVE
N KIMBALL AVE
S KIMBARK AVE
N KIMBERLY AVE
N KINGSBURY ST
N KINGSDALE AVE
S KINGSTON AVE
E KINZIE ST
W KINZIE ST
N KINZUA AVE
N KIONA AVE
N KIRBY AVE
S KIRKLAND AVE
N KIRKWOOD AVE
N KNOX AVE
S KNOX AVE
N KOLIN AVE
S KOLIN AVE
N KOLMAR AVE
S KOLMAR AVE
S KOMENSKY AVE
N KOSTNER AVE
S KOSTNER AVE
S KREITER AVE
N KRUGER AVE
N LA CROSSE AVE
S LA CROSSE AVE
E LA SALLE DR
N LA SALLE DR
W LA SALLE DR
N LA SALLE ST
S LA SALLE ST
N LA SALLE DR ER
N LA SALLE LOWER ST
N LACEY AVE
S LAFAYETTE AVE
S LAFAYETTE ST
S LAFLIN PL
N LAFLIN ST
S LAFLIN ST
E LAKE ST
W LAKE ST
S LAKE CALUMET HARBOR ENT
E LAKE LOWER ST
S LAKE PARK AVE W
S LAKE PARK AVE
E LAKE SHORE DR
N LAKE SHORE DR
N LAKE SHORE DR NB
N LAKE SHORE DR SB
S LAKE SHORE DR W
S LAKE SHORE DR SB
S LAKE SHORE DR NB
S LAKE SHORE DR
N LAKE SHORE SR
N LAKE SHORE DR RAMP
N LAKE SHORE LOWER DR
N LAKEFRONT DR
S LAKEFRONT DR
W LAKESIDE PL
N LAKEVIEW AVE
N LAKEWOOD AVE
N LAMBERT AVE
N LAMON AVE
S LAMON AVE
N LANDERS AVE
S LANGLEY AVE
N LANSING AVE
N LAPORTE AVE
S LAPORTE AVE
N LARAMIE AVE
S LARAMIE AVE W
S LARAMIE AVE OP
S LARAMIE AVE
W LARCHMONT AVE
N LARNED AVE
N LARRABEE ST
N LAS CASAS AVE
N LATHAM AVE
N LATROBE AVE
S LATROBE AVE
N LAVERGNE AVE
S LAVERGNE AVE
N LAWLER AVE
S LAWLER AVE
N LAWNDALE AVE
S LAWNDALE AVE
W LAWRENCE AVE
W LAWRENCE DR
N LAWRENCE WILSON DR
N LE MAI AVE
W LE MOYNE DR
W LE MOYNE ST
N LEADER AVE
N LEAMINGTON AVE
S LEAMINGTON AVE
N LEAVENWORTH AVE
N LEAVITT ST
S LEAVITT ST
N LECLAIRE AVE
S LECLAIRE AVE
S LEE PKWY
W LEE PL
N LEGETT AVE
N LEHIGH AVE
N LEHMANN CT
W LELAND AVE
N LEMONT AVE
N LENOX AVE
N LEONA AVE
N LEONARD AVE
N LEOTI AVE
N LEROY AVE
N LESSING ST
N LESTER AVE
W LEVEE ST
W LEXINGTON ST
S LEYDEN AVE
N LIANO AVE
W LIBERTY ST
N LIEB AVE
N LIGHTFOOT AVE
W LILL AVE
N LINCOLN AVE
N LINCOLN PLZ
N LINCOLN PARK   W
N LIND AVE
N LINDEN PL
N LINDER AVE
S LINDER AVE
N LIPPS AVE
N LISTER AVE
W LITHUANIAN PLAZA CT
E LITTLE CALUMET RIVER
S LITTLE CALUMET RIVER
W LITTLE CALUMET RIVER
S LITUANICA AVE
N LIVERMORE AVE
S LLOYD AVE
S LOCK ST
N LOCKWOOD AVE
S LOCKWOOD AVE
W LOCUST ST
W LOGAN BLVD N
W LOGAN BLVD S
W LOGAN BLVD
N LOLETA AVE
N LONDON AVE
N LONG AVE
S LONG AVE
N LONGMEADOW AVE
S LONGWOOD DR
S LOOMIS BLVD
S LOOMIS PL
N LOOMIS ST
S LOOMIS ST
S LOOP DR
N LOREL AVE
S LOREL AVE
N LORING AVE
N LORIS PL
N LORON AVE
S LOTHAIR AVE
N LOTUS AVE
S LOTUS AVE
S LOUIE PKWY
N LOUISE AVE
N LOVEJOY AVE
S LOWE AVE
N LOWELL AVE
W LOWERLEVELT1 ST
W LOWERLEVELT2 ST
W LOWERLEVELT3 ST
W LOYOLA AVE
W LOYOLA CT
S LSD 18TH DR ER
S LSD 18TH DR XR
S LSD 31ST ST ER
S LSD 31ST ST XR
S LSD 47TH ST ER
S LSD 47TH ST XR
S LSD 53RD ST XR
N LSD BELMONT AV ER
N LSD BELMONT AV XR
N LSD BRYN MAWR AV XR
S LSD COLUMBUS DR ER
S LSD COLUMBUS DR XR
S LSD FORT DEARBORN ER
N LSD FOSTER AV ER
N LSD FOSTER AV XR
N LSD FULLERTON AV ER
N LSD FULLERTON AV XR
N LSD GRAND AV ER
N LSD ILLINOIS ST XR
N LSD IRVING PARK RD ER
N LSD IRVING PARK RD XR
N LSD LA SALLE ST ER
N LSD LA SALLE ST XR
N LSD LAWRENCE AV ER
N LSD LAWRENCE AV XR
E LSD LSD WACKER DR XR
N LSD MICHIGAN AV ER
N LSD MICHIGAN AV XR
N LSD MICHIGAN AVENUE XR
S LSD MOE DR ER
N LSD MONTROSE AV ER
N LSD MONTROSE AV XR
E LSD NB STEVENSON OB ER
S LSD NB STEVENSON OB ER
S LSD OAKWOOD BL ER
S LSD OAKWOOD BL XR
N LSD RANDOLPH ST ER
N LSD RANDOLPH ST XR
N LSD RECREATION DR XR
S LSD SB STEVENSON OB ER
N LSD WACKER DR ER SB
N LSD WACKER DR XR
N LSD WACKER DR NB ER
N LSD WILSON AV ER
N LSD WILSON AV XR
N LUCERNE AVE
N LUDLAM AVE
S LUELLA AVE
N LUIS MUNOZ MARIN DR E
N LUIS MUNOZ MARIN DR W
W LUIS MUNOZ MARIN DR N
W LUIS MUNOZ MARIN DR S
S LUMBER ST
N LUNA AVE
S LUNA AVE
N LUNDY AVE
W LUNT AVE
W LUTHER ST
S LYMAN ST
N LYNCH AVE
W LYNDALE ST
S LYNN WHITE DR
S LYON AVE
S LYTLE ST
N MAC CHESNEY CT
S MACKINAW AVE
E MADISON ST
W MADISON ST
E MADISON PARK
N MADISON ST ER
N MAGNET AVE
N MAGNOLIA AVE
N MAJOR AVE
S MAJOR AVE
N MALDEN ST
S MALTA ST
N MANDELL AVE
N MANGO AVE
N MANILA AVE
S MANISTEE AVE
N MANKATO AVE
W MANN DR
N MANNHEIM RD
N MANOR AVE
N MANTON AVE
W MAPLE ST
N MAPLEWOOD AVE
S MAPLEWOOD AVE
W MARBLE PL
N MARCEY ST
W MARGATE TER
N MARIA CT
N MARINE DR
N MARION CT
W MARKETPLACE ACCESS RD
N MARKHAM AVE
N MARMORA AVE
S MARQUETTE AVE
E MARQUETTE DR
E MARQUETTE RD
S MARQUETTE RD
W MARQUETTE RD
S MARSHALL BLVD
N MARSHFIELD AVE
S MARSHFIELD AVE
S MARTIN ST
S MARY ST
S MARYLAND AVE
N MASON AVE
S MASON AVE
N MASSASOIT AVE
S MASSASOIT AVE
W MATSON AVE
N MAUD AVE
N MAUTENE CT
W MAXWELL ST
N MAY ST
S MAY ST
N MAYFIELD AVE
S MAYFIELD AVE
W MAYPOLE AVE
N MCALPIN AVE
N MCAULEY CT
N MCCLELLAN AVE
N MCCLURG CT
N MCCOOK AVE
N MCCORMICK RD
N MCCORMICK PL BUSWAY
S MCCORMICK PL BUSWAY
S MCCORMICK PLACE ER
N MCCREA DR
N MCCUTCHEON TER
S MCDERMOTT ST
S MCDOWELL AVE
E MCFETRIDGE DR N
E MCFETRIDGE DR S
E MCFETRIDGE DR
W MCLEAN AVE
N MCLEOD AVE
N MCVICKER AVE
S MCVICKER AVE
N MEADE AVE
S MEADE AVE
N MEDFORD AVE
W MEDILL AVE
N MEDINA AVE
S MELODY CT
W MELROSE ST
N MELVINA AVE
S MELVINA AVE
W MEMORY LN
N MENARD AVE
S MENARD AVE
S MENARD DR
N MENDELL ST
N MENDOTA AVE
W MENOMONEE ST
W MERCHANDISE MART PLZ
N MEREDITH AVE
S MERRILL AVE
N MERRIMAC AVE
S MERRIMAC AVE
S MERRION AVE
S METRON DR
N MEYER AVE
W MIAMI AVE
N MICHIGAN AVE W
N MICHIGAN AVE
S MICHIGAN AVE
N MICHIGAN LOWER AVE
S MIDWAY AIRPORT
S MIDWAY AIRPORT CICERO AVE ER SB
S MIDWAY AIRPORT CICERO AVE ER NB
S MIDWAY AIRPORT CICERO AVE XR
S MIDWAY AIRPORT LOWER
S MIDWAY AIRPORT LOWER CICERO AVE ER NB
S MIDWAY AIRPORT LOWER CICERO AVE ER SB
S MIDWAY AIRPORT LOWER CICERO AVE XR
W MIDWAY PARK
E MIDWAY PLAISANCE   N
E MIDWAY PLAISANCE
N MIES VAN DER ROHE WAY
N MILDRED AVE
S MILLARD AVE
S MILLER ST
N MILTIMORE AVE
N MILWAUKEE AVE
N MILWAUKEE CT
S MINERVA AVE
N MINNEHAHA AVE
N MINNETONKA AVE
N MOBILE AVE
S MOBILE AVE
S MOE DR
W MOFFAT ST
N MOHAWK ST
N MONITOR AVE
S MONITOR AVE
N MONON AVE
E MONROE DR
W MONROE PKWY
E MONROE ST
W MONROE ST
W MONSIGNOR MCELLIGOTT AVE
N MONT CLARE AVE
W MONTANA ST
W MONTEREY AVE
S MONTGOMERY AVE
W MONTGOMERY AVE
N MONTICELLO AVE
W MONTICELLO AVE
W MONTROSE AVE
W MONTROSE DR
W MONTROSE HARBOR DR
W MONTVALE AVE
N MOODY AVE
S MOODY AVE
N MOORMAN ST
E MORGAN DR
N MORGAN ST
S MORGAN ST
W MORSE AVE
N MOSELLE AVE
N MOZART DR
N MOZART ST
S MOZART ST
N MT PROSPECT RD
N MULLIGAN AVE
S MULLIGAN AVE
E MUSEUM DR
S MUSEUM CAMPUS DR
W MUSIC COURT DR
S MUSKEGON AVE
W MYRICK ST
W MYRTLE AVE
N N BRANCH CANAL
N N BRANCH CHICAGO RIVER
W N BRANCH CHICAGO RIVER
N NAGLE AVE
S NAGLE AVE
N NAPER AVE
N NAPLES AVE
N NAPOLEON AVE
N NARRAGANSETT AVE
S NARRAGANSETT AVE
N NASHOTAH AVE
N NASHVILLE AVE
S NASHVILLE AVE
N NASSAU AVE
N NATCHEZ AVE
S NATCHEZ AVE
N NATOMA AVE
S NATOMA AVE
N NAVAJO AVE
E NAVAL ARMORY DR
N NAVARRE AVE
N NEENAH AVE
S NEENAH AVE
W NELSON ST
N NEOLA AVE
N NETTLETON AVE
N NEVA AVE
S NEVA AVE
N NEW ST
N NEW ENGLAND AVE
S NEW ENGLAND AVE
N NEW HAMPSHIRE AVE
N NEWARK AVE
S NEWBERRY AVE
N NEWBURG AVE
N NEWCASTLE AVE
S NEWCASTLE AVE
N NEWGARD AVE
N NEWLAND AVE
S NEWLAND AVE
W NEWPORT AVE
N NIAGARA AVE
N NICKERSON AVE
N NICOLET AVE
N NINA AVE
N NIXON AVE
N NOBLE ST
N NOKOMIS AVE
N NORA AVE
N NORDICA AVE
S NORDICA AVE
S NORFOLK RR ACCESS RD
S NORMAL AVE
S NORMAL BLVD
W NORMAL PKWY N
W NORMAL PKWY S
W NORMAN R BOBINS PL
N NORMANDY AVE
S NORMANDY AVE
E NORTH AVE
W NORTH AVE
W NORTH BLVD
N NORTH BRANCH ST
N NORTH PARK AVE
W NORTH SHORE AVE
N NORTH SHORE CHANNEL
E NORTH WATER ST
E NORTH WATER LOWER ST
N NORTHCOTT AVE
N NORTHWEST HWY
W NORWOOD ST
N NOTTINGHAM AVE
S NOTTINGHAM AVE
E OAK ST
W OAK ST
N OAK PARK AVE
S OAK PARK AVE
W OAKDALE AVE
S OAKENWALD AVE
S OAKLAND CRES
N OAKLEY AVE
S OAKLEY AVE
N OAKLEY BLVD
S OAKLEY BLVD
N OAKVIEW AVE
E OAKWOOD BLVD
S OB DAN RYAN SR
W OB NORTHWEST TOLL
N OCONTO AVE
N OCTAVIA AVE
N ODELL AVE
N OGALLAH AVE
N OGDEN AVE
W OGDEN AVE S
W OGDEN AVE N
W OGDEN AVE
S OGLESBY AVE
W OHARE ST
W OHARE AIRPORT
E OHIO ST E
E OHIO ST
W OHIO ST
W OHIO FEEDER XR
W OHIO FEEDER XR IB
N OKETO AVE
N OLCOTT AVE
W OLD HIGGINS RD
S OLD LAKE SHORE DR E
W OLD TOWN CT
N OLEANDER AVE
N OLIPHANT AVE
W OLIVE AVE
N OLMSTED AVE
N OLYMPIA AVE
N ONARGA AVE
N ONEIDA AVE
E ONTARIO ST
W ONTARIO ST
W ONTARIO FEEDER EXPRESS LANES ER
N OPAL AVE
N ORANGE AVE
N ORCHARD ST
N ORIOLE AVE
N ORLEANS ST
N OSAGE AVE
N OSCEOLA AVE
N OSHKOSH AVE
N OSWEGO ST
N OTSEGO AVE
N OTTAWA AVE
N OTTO AVE
N OVERHILL AVE
N OWEN AVE
N OXFORD AVE
N OZANAM AVE
N OZARK AVE
N PACIFIC AVE
S PACKERS AVE
N PAGE AVE
W PALATINE AVE
W PALMER BLVD
W PALMER ST
N PANAMA AVE
N PARIS AVE
N PARK DR
E PARK PL
S PARK TER
S PARK SHORE EAST CT
W PARKER AVE
N PARKSIDE AVE
S PARKSIDE AVE
N PARKVIEW TER
S PARNELL AVE
W PATTERSON AVE
N PATTON AVE
N PATTON DR
N PAULINA ST
S PAULINA ST
E PAVILION PLAZA DR
S PAXTON AVE
S PAYNE DR
E PEARSON ST
W PEARSON ST
W PENSACOLA AVE
S PEORIA DR
N PEORIA ST
S PEORIA ST
S PERRY AVE
W PERSHING PL
E PERSHING RD
W PERSHING RD OP
W PERSHING RD
N PESHTIGO CT
W PETERSON AVE
S PHILLIPS AVE
N PICARDY PL
N PIER CT
W PIERCE AVE
N PINE AVE
N PINE GROVE AVE
N PIONEER AVE
W PIPPIN ST
S PITNEY CT
N PITTSBURGH AVE
N PLAINFIELD AVE
S PLEASANT AVE
S PLYMOUTH CT
N POE ST
N POINT ST
W POLK ST
N POLLOCK ST
N PONCHARTRAIN BLVD
N PONTIAC AVE
E POOL DR
W POPE JOHN PAUL II DR
S POPLAR AVE
S PORTLAND AVE
N POST PL
W POSTOFFICE RD
N POTAWATOMIE AVE
W POTOMAC AVE
S PRAIRIE AVE
S PRAIRIE PKWY
S PRAIRIE PARK PL
W PRATT AVE
W PRATT BLVD
N PRESCOTT AVE
S PRINCETON AVE
W PRINDIVILLE ST
S PRIVATE
W PRIVATE
N PRIVATE DR
W PRIVATE ST
S PROMONTORY DR
S PROSPECT AVE
S PROSPECT SQ
W PRYOR AVE
E PUBLIC WAY
N PULASKI RD
S PULASKI RD
W QUINCY CT
W QUINCY ST
S QUINN ST
W RACE AVE
N RACINE AVE
S RACINE AVE
W RAILROAD AVE
E RAINEY DR
E RANDOLPH ST
W RANDOLPH ST N
W RANDOLPH ST S
W RANDOLPH ST
E RANDOLPH LOWER ST
N RANDOLPH LSD ER
N RANDOLPH ST WACKER ER
E RANDOLPH SUB ST
W RASCHER AVE
W RAVEN ST
N RAVENSWOOD AVE
N RECREATION DR
W REDFIELD DR
N REDWOOD AVE
N REDWOOD DR
S REILLY AVE
N RESERVE AVE
N RETA AVE
S RHODES AVE
W RICE ST
S RICHARDS DR
W RICHLAND CT
N RICHMOND ST
S RICHMOND ST
N RIDGE AVE
N RIDGE BLVD
S RIDGELAND AVE
N RIDGEWAY AVE
S RIDGEWAY AVE
S RIDGEWOOD CT
N RITCHIE CT
E RIVER DR
W RIVER LOFT CT
N RIVER WALK   E
S RIVERDALE AVE
N RIVERSEDGE TER
N RIVERSIDE PLZ
S RIVERSIDE PLZ
W RIVERVIEW PKWY
E RIVERWALK   S
W RIVERWALK   S
N RIVERWALK DR
S ROBINSON ST
E ROCHDALE PL
N ROCKWELL ST
S ROCKWELL ST
N ROGERS AVE
E ROOSEVELT DR
E ROOSEVELT RD
W ROOSEVELT RD
W ROOT ST
W ROSCOE ST
N ROSE ST
W ROSEDALE AVE
W ROSEHILL DR
W ROSEMONT AVE
W ROSLYN PL
S ROSS AVE
S RUBLE ST
W RUMSEY AVE
W RUNDELL PL
N RUSH ST
S RUSSELL DR
N RUTHERFORD AVE
S RUTHERFORD AVE
N S BRANCH CHICAGO RIVER
S S BRANCH CHICAGO RIVER
W S BRANCH CHICAGO RIVER
N SACRAMENTO AVE
S SACRAMENTO AVE
N SACRAMENTO BLVD W
N SACRAMENTO BLVD
N SACRAMENTO BLVD E
S SACRAMENTO BLVD
S SACRAMENTO DR
W SACRAMENTO SQ
S SAGINAW AVE
N SANDBURG TER
N SANFORD AVE
N SANGAMON ST
S SANGAMON ST
W SANITARY SHIP CANAL
N SAUGANASH AVE
N SAUGANASH LN
N SAWYER AVE
S SAWYER AVE
N SAYRE AVE
S SAYRE AVE
N SCHICK PL
E SCHILLER ST
W SCHILLER ST
N SCHILLING RD
W SCHOOL ST
W SCHORSCH ST
W SCHRAEDER DR
W SCHREIBER AVE
W SCHUBERT AVE
E SCIENCE DR
E SCOTT ST
W SCOTT ST
S SCOTTSDALE AVE
N SEDGWICK ST
N SEELEY AVE
S SEELEY AVE
W SEIPP ST
N SELL CT
W SELL RD
N SEMINARY AVE
W SEMINARY CT
W SEMINOLE ST
S SENOUR AVE
W SERBIAN RD
W SEYMOUR AVE
W SHAKESPEARE AVE
N SHAPLAND AVE
N SHEFFIELD AVE
S SHELBY CT
N SHERIDAN RD
W SHERIDAN RD
S SHERMAN PARK   W
S SHERMAN PARK   E
W SHERMAN PARK   N
W SHERMAN PARK   S
W SHERWIN AVE
S SHIELDS AVE
S SHORE DR
S SHORT ST
N SIMONDS DR
N SIOUX AVE
E SOLIDARITY DR
W SOMERSET AVE
S SOUTH CHICAGO AVE
E SOUTH SHORE DR
S SOUTH SHORE DR
E SOUTH WATER ST
E SOUTH WATER LOWER ST
W SOUTH WATER MARKET
E SOUTH WATER RAMP
E SOUTH WATER RAMP LOWER ST
E SOUTH WATER SUB ST
N SOUTHPORT AVE
N SOUTHSPINE RD
N SPAULDING AVE
S SPAULDING AVE
N SPINE RD
N SPOKANE AVE
N SPRINGFIELD AVE
S SPRINGFIELD AVE
N ST CLAIR ST
W ST GEORGES CT
W ST HELEN ST
W ST JAMES PL
N ST JOHNS CT
W ST JOSEPH AVE
S ST LAWRENCE AVE
S ST LAWRENCE DR
N ST LOUIS AVE
S ST LOUIS AVE
W ST MARY ST
N ST MICHAELS CT
W ST PAUL AVE
S STARK ST
N STATE PKWY
N STATE ST
S STATE ST
S STATE LINE RD
N STAVE ST
E STEPHEN A DOUGLAS DR
N STETSON AVE
N STETSON LOWER AVE
N STETSON SUB AVE
W STEUBEN ST
N STEVENS AVE
E STEVENSON EXPY IB
E STEVENSON EXPY OB
W STEVENSON EXPY OB
W STEVENSON EXPY IB
E STEVENSON 25TH ST ER
W STEVENSON 31ST ST ER
W STEVENSON DAMEN AV ER
W STEVENSON DAMEN AV XR
W STEVENSON DAN RYAN XR IB
W STEVENSON DAN RYAN IB ER IB
S STEVENSON EXPY ER
S STEVENSON FRANKLIN ST XR
W STEVENSON FRANKLIN ST XR
W STEVENSON IB DAN RYAN ER OB
S STEVENSON IB DAN RYAN IB ER
S STEVENSON IB DAN RYAN OB ER
E STEVENSON IB LSD NB ER
S STEVENSON IB LSD NB ER
E STEVENSON IB LSD SB ER
S STEVENSON IB LSD SB ER
E STEVENSON KING DR ER
E STEVENSON KING DR XR
W STEVENSON OB DAN RYAN ER IB
E STEVENSON STATE ST ER
E STEVENSON STATE ST XR
S STEWART AVE
N STOCKTON DR
N STONE ST
S STONY ISLAND AVE E
S STONY ISLAND AVE W
S STONY ISLAND AVE
S STONY ISLAND EXT AVE
W STRATFORD PL
N STREETER DR
W STRONG ST
W SULLIVAN ST
W SUMMERDALE AVE
S SUMMIT AVE
W SUNNYSIDE AVE
E SUPERIOR ST
W SUPERIOR ST
W SURF ST
N SURREY CT
N SUTTON PL
W SWANN ST
N TAFT AVE
N TAHOMA AVE
W TALCOTT AVE
N TALMAN AVE
S TALMAN AVE
S TAN CT
W TANKFARM RD
W TAYLOR ST
W TERRA COTTA PL
N THATCHER RD
W THOMAS ST
S THOMAS BARCLAY DR
W THOME AVE
S THOMPSON DR
W THORNDALE AVE
S THROOP PKWY
N THROOP ST
S THROOP ST
W TILDEN ST
S TOM PKWY
N TONTY AVE
W TOOKER PL
S TORRENCE AVE
W TOUHY AVE
W TRANSIT AVE
W TREMONT ST
N TRIPP AVE
S TRIPP AVE
N TROY ST
S TROY ST
N TRUMBULL AVE
S TRUMBULL AVE
N UNION AVE
S UNION AVE
S UNIVERSITY AVE
W UNIVERSITY LN
S UNKNOWN
W UPPERLEVELT1 ST
W UPPERLEVELT2 ST
W UPPERLEVELT3 ST
S URBAN AVE
E VAN BUREN ST
W VAN BUREN ST
W VAN SCHAIK AVE
S VAN VLISSINGEN RD
S VANDERPOEL AVE
W VERMONT ST
S VERNON AVE
W VERNON PARK PL
W VETERANS PL
W VICTORIA ST
W VILLAGE CT
S VINCENNES AVE
N VINE ST
N VIRGINIA AVE
W WABANSIA AVE
N WABASH AVE
S WABASH AVE
N WABASH LOWER AVE
E WACKER DR
N WACKER DR
S WACKER DR
W WACKER DR
E WACKER PL
S WACKER DR LOWER XR
E WACKER LOWER DR
